                 sim	               state	                soln	              dist_x	                time	                step	                  pH	                  pe	           EthylNAPL	            BenzNAPL	              EthylD	               BenzD	
                   1	              i_soln	                   1	                 -99	                 -99	                 -99	  7.089805373740e+00	  4.000000000000e+00	  1.000000000000e+00	  1.000000000000e+00	  1.000000000000e-99	  1.000000000000e-99	
                   1	               react	                   1	                 -99	               12096	                   1	  7.089805373740e+00	  1.158531106941e+01	  9.999134787601e-01	  9.987023190087e-01	  8.652123985877e-05	  1.297680991616e-03	
                   1	               react	                   1	                 -99	               24192	                   2	  7.089805373740e+00	  1.159168041801e+01	  9.998367656131e-01	  9.975532238346e-01	  1.632343868742e-04	  2.446776165698e-03	
                   1	               react	                   1	                 -99	               36288	                   3	  7.089805373740e+00	  1.159611260978e+01	  9.997687487150e-01	  9.965357019943e-01	  2.312512850277e-04	  3.464298006083e-03	
                   1	               react	                   1	                 -99	               48384	                   4	  7.089805373740e+00	  1.160037094458e+01	  9.997084422649e-01	  9.956346886992e-01	  2.915577351116e-04	  4.365311301194e-03	
                   1	               react	                   1	                 -99	               60480	                   5	  7.089805373740e+00	  1.160446854861e+01	  9.996549722148e-01	  9.948368439082e-01	  3.450277852147e-04	  5.163156092184e-03	
                   1	               react	                   1	                 -99	               72576	                   6	  7.089805373740e+00	  1.160841711538e+01	  9.996075635995e-01	  9.941303548919e-01	  3.924364005348e-04	  5.869645108433e-03	
                   1	               react	                   1	                 -99	               84672	                   7	  7.089805373740e+00	  1.161222710701e+01	  9.995655293036e-01	  9.935047613920e-01	  4.344706964300e-04	  6.495238608363e-03	
                   1	               react	                   1	                 -99	               96768	                   8	  7.089805373740e+00	  1.161590792120e+01	  9.995282601023e-01	  9.929508007904e-01	  4.717398977158e-04	  7.049199209983e-03	
                   1	               react	                   1	                 -99	              108864	                   9	  7.089805373740e+00	  1.161946803092e+01	  9.994952158313e-01	  9.924602710001e-01	  5.047841687072e-04	  7.539729000282e-03	
                   1	               react	                   1	                 -99	              120960	                  10	  7.089805373740e+00	  1.162291510202e+01	  9.994659175579e-01	  9.920259090496e-01	  5.340824420880e-04	  7.974090950793e-03	
                   1	               react	                   1	                 -99	              133056	                  11	  7.089805373740e+00	  1.162625609240e+01	  9.994399406398e-01	  9.916412835650e-01	  5.600593601834e-04	  8.358716435388e-03	
                   1	               react	                   1	                 -99	              145152	                  12	  7.089805373740e+00	  1.162949733668e+01	  9.994169085707e-01	  9.913006995602e-01	  5.830914292678e-04	  8.699300440169e-03	
